City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,grand falls-windsor,48.9332,-55.6649,66.51,71,96,4.0,CA,1690838349
344,ceeldheer,3.8488,47.1806,76.05,84,40,15.46,SO,1690838349
345,hauterive,46.0901,3.4459,74.16,59,32,5.1,FR,1690838349
346,tocopilla,-22.092,-70.1979,69.76,64,7,9.31,CL,1690838350
347,polyarnyy,69.1989,33.4478,52.9,89,100,8.52,RU,1690838350
348,lae,-6.7221,146.9847,75.87,87,91,4.45,PG,1690838351
349,sturgis,41.7992,-85.4192,78.6,44,40,0.0,US,1690838351
350,coronado,32.6859,-117.1831,90.41,76,75,13.8,US,1690838352
351,kampene,-3.6,26.6667,74.53,33,25,2.64,CD,1690838040
352,mirnyy,62.5353,113.9611,50.23,57,3,7.0,RU,1690838353
353,shubarshi,48.5872,57.1869,73.53,41,0,9.17,KZ,1690838353
354,holualoa,19.6228,-155.9522,80.78,71,40,9.22,US,1690838354
355,tuy hoa,13.0833,109.3,77.86,87,100,18.63,VN,1690838354
356,shiguai,40.7058,110.2856,67.77,93,28,6.51,CN,1690838355
357,rio pardo,-29.9897,-52.3781,64.53,90,18,2.8,BR,1690838355
358,puerto baquerizo moreno,-0.9,-89.6,79.79,78,75,17.27,EC,1690838356
359,hammerfest,70.6634,23.6821,59.45,72,0,12.66,NO,1690838162
360,port macquarie,-31.4333,152.9167,46.89,75,2,4.92,AU,1690838356
361,amga,60.8953,131.9608,47.35,86,47,6.71,RU,1690838357
362,yinchuan,38.4681,106.2731,77.9,55,2,1.5,CN,1690838120
363,kanina khas,28.3333,76.3167,87.21,62,29,6.82,IN,1690838358
